調味名稱,攤位,攤商名稱,品牌,來源(產地),夜市名稱,_id
薑,中華路二段315巷口,正宗福州麵,青禾商行,臺北市萬華區國興路52號1樓(青年公園附近),南機場夜市,1
黑糖,中華路二段307-309巷間,黑嚕嚕粉圓,黑嚕嚕粉圓店,台中市大里區仁德里四維街29巷15號1樓,南機場夜市,2
冰糖,中華路二段309-311巷間,肉羹涼麵,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,3
香油,中華路二段309-311巷間,肉羹涼麵,辰邦股份有限公司,新北市新莊區化成路403巷47號,南機場夜市,4
醬油,中華路二段309-311巷間,肉羹涼麵,金蘭食品股份有限公司,桃園市大溪區介壽路236號,南機場夜市,5
鹽,中華路二段309-311巷間,肉羹涼麵,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,6
胡椒,中華路二段307-309巷間,天品滷味,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,南機場夜市,7
香油,中華路二段307-309巷間,天品滷味,北斗馨油股份有限公司,彰化縣北斗鎮地政路326之1號,南機場夜市,8
辣椒,中華路二段307-309巷間,天品滷味,自製,自製,南機場夜市,9
糖,中華路二段307-309巷間,天品滷味,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,10
鹽,中華路二段307-309巷間,天品滷味,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,11
沙拉油,中華路二段307-311巷間,厚道丼飯,美食家食材通路股份有限公司,新北市五股區成泰路二段185-2號,南機場夜市,12
番茄醬,中華路二段307-311巷間,厚道丼飯,台灣可果美股份有限公司,台南市善化區小新營394號,南機場夜市,13
糖,中華路二段307-311巷間,厚道丼飯,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,14
醬油,中華路二段307-311巷間,厚道丼飯,味全食品工業股份有限公司,台北市中山區松江路125號,南機場夜市,15
鹽,中華路二段307-311巷間,厚道丼飯,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,16
沙拉油,中華路二段307-313巷間,東山鴨頭,美食家,台南市官田區工業西路32號,南機場夜市,17
胡椒粉,中華路二段307-313巷間,東山鴨頭,盛祿隆實業有限公司,高雄大寮區濃公路256巷41號,南機場夜市,18
糖,中華路二段307-313巷間,東山鴨頭,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,19
鹽,中華路二段307-313巷間,東山鴨頭,臺鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,20
麵,92,陳品,無品牌,台灣,士林觀光夜市,3302
砂糖,中華路二段307巷,罔市手工粉圓,罔市手工粉圓加盟店,桃園市中壢區合浦街77號,南機場夜市,21
黑糖,中華路二段307巷,罔市手工粉圓,罔市手工粉圓加盟店,桃園市中壢區合浦街77號,南機場夜市,22
沙拉油,中華路二段307-309巷間,深海旗魚串,美食家食材通路股份有限公司,台南市安平區永華路二段373號,南機場夜市,23
哇沙米,中華路二段307-309巷間,深海旗魚串,合將整合行銷股份有限公司,臺北市內湖區基明路35巷16號8F之4,南機場夜市,24
胡椒粉,中華路二段307-309巷間,深海旗魚串,濟生股份有限公司,台北市大同區安西街116號,南機場夜市,25
辣椒醬,中華路二段307-309巷間,深海旗魚串,松芳醬園,屏東縣屏東市復興南路一段115號,南機場夜市,26
糖,中華路二段307-309巷間,深海旗魚串,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,27
醬油膏,中華路二段307-309巷間,深海旗魚串,松芳醬園,屏東縣屏東市復興南路一段115號,南機場夜市,28
沙拉油,中華路二段307-309巷間,美珍越南,美食家食材通路股份有限公司,台南市安平區永華路二段373號,南機場夜市,29
花生醬,中華路二段307-309巷間,美珍越南,美華越南雜貨店,新北市三重區自強路二段40巷20號,南機場夜市,30
魚露,中華路二段307-309巷間,美珍越南,美華越南雜貨店,新北市三重區自強路二段40巷20號,南機場夜市,31
鹽,中華路二段307-309巷間,美珍越南,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,32
沙拉油,中華路二段307-309巷間,大腸包小腸,福壽實業股份有限公司,台中市沙鹿區沙田路45號,南機場夜市,33
香油,中華路二段307-309巷間,大腸包小腸,富味鄉食品股份有限公司,新北市五股區五權路53號,南機場夜市,34
糖,中華路二段307-309巷間,大腸包小腸,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,35
醬油,中華路二段307-309巷間,大腸包小腸,新亞醬園,新北市蘆洲區長安街285巷18號1樓,南機場夜市,36
鹽,中華路二段307-309巷間,大腸包小腸,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,37
糖,廣州街235號路中,台灣人燒仙草,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,廣州街觀光夜市,38
糖,廣州街200號,仙草冰,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,廣州街觀光夜市,39
醬油,廣州街200號,豬血糕,金蘭食品股份有限公司,桃園市大溪區介壽路236號,廣州街觀光夜市,40
芝麻粉,饒河街10攤位,狀元糕,點點雜糧,新北市三重區雙園街57巷5號,饒河街觀光夜市,63
糖,廣州街241號,桃鳳湯,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,廣州街觀光夜市,41
醬油,廣州街241號路中,玉米竹竹烤玉米,金蘭食品股份有限公司,桃園市大溪區介壽路236號,廣州街觀光夜市,42
鹽,士林夜市地上一樓206攤,台灣水果,台鹽實業股份有限公司?,苗栗縣通霄鎮內島里122號,士林觀光夜市,43
海苔,士林夜市慈諴宮對面,冠魚蛋小屋,冠魚蛋小屋,台北市士林區大南路(士林廟口前),士林觀光夜市,44
檸檬鹽,士林夜市慈諴宮對面,冠魚蛋小屋,永芳香料食品加工所,台南市南區永成路三段103巷1號,士林觀光夜市,45
椒鹽,士林夜市慈諴宮對面,士林廟口我豪蝦,福記食品有限公司,新竹縣竹北市泰和里中華路692號1樓,士林觀光夜市,46
