夜市名稱,調味名稱,攤位,攤商名稱,品牌,來源(產地)
饒河街觀光夜市,芝麻粉,饒河街10攤位,狀元糕,點點雜糧,新北市三重區雙園街57巷5號
饒河街觀光夜市,花生粉,饒河街10攤位,狀元糕,點點雜糧,新北市三重區雙園街57巷5號
饒河街觀光夜市,糖,饒河街10攤位,狀元糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,胡椒粉,饒河街23號攤位,永哥爆漿好吃雞腿捲,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,沙拉油,饒河街25號攤位,現炸魷魚船,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,芥末,饒河街25號攤位,現炸魷魚船,現炸魷魚船(臺中總店),臺中市北屯區經貿一路168巷225號
饒河街觀光夜市,胡椒,饒河街25號攤位,現炸魷魚船,現炸魷魚船(臺中總店),臺中市北屯區經貿一路168巷225號
饒河街觀光夜市,泰式酸辣醬,饒河街25號攤位,現炸魷魚船,現炸魷魚船(臺中總店),臺中市北屯區經貿一路168巷225號
饒河街觀光夜市,胡椒粉,饒河街26攤位,北極螺,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,辣粉,饒河街26攤位,北極螺,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,鹽,饒河街26攤位,北極螺,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,醬油,饒河街27攤位,深海大魷魚,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,沙茶醬,饒河街攤商號碼304,玉米哥直立式炭烤玉米,勝益興食品有限公司,高雄市三民區遼北街7號
饒河街觀光夜市,糖,饒河街攤商號碼304,玉米哥直立式炭烤玉米,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街攤商號碼304,玉米哥直立式炭烤玉米,新亞醬園,新北市蘆洲區長安街285巷18號1樓
饒河街觀光夜市,鹽,饒河街攤商號碼304,玉米哥直立式炭烤玉米,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,糖,饒河街33號攤位,健康鮮果汁,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,胡椒粉,饒河街34攤位,碳霸海鮮燒烤,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,沙拉油,饒河街32攤位,饒河鳥蛋蝦球,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,胡椒鹽,饒河街32攤位,饒河鳥蛋蝦球,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,海苔粉,饒河街32攤位,饒河鳥蛋蝦球,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,金梅醬油膏,饒河街223號攤位,原住民山豬肉香腸,新亞醬園,新北市蘆洲區長安街285巷18號1F
饒河街觀光夜市,海鹽,饒河街79號,生蠔哥海鮮炭烤,Kirkland Signature 科克蘭研磨地中海海鹽,法國
饒河街觀光夜市,黑胡椒,饒河街223號攤位,原住民山豬肉香腸,飛馬牌(濟生股份有限公司),台北市大同區安西街116號
饒河街觀光夜市,蒜泥,饒河街223號攤位,原住民山豬肉香腸,歸綏街批發市場,臺北市歸綏街
饒河街觀光夜市,靜岡芥末,饒河街223號攤位,原住民山豬肉香腸,歸綏街批發市場,臺北市歸綏街
饒河街觀光夜市,胡椒粉,饒河街43攤位,烤野生生蠔,天裕行(其美有限公司),台北市信義區松山路156之1號
